neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Fairywood (Pittsburgh),1427,5836,1535,2,19,9025,534,970,66,8054,467,2023-04-17
Fawn,1254,2053,252,3,31,3952,515,1206,120,2746,395,2023-04-17
Findlay,3703,5162,465,9,50,10577,1502,3506,481,7051,1015,2023-04-17
Fineview (Pittsburgh),676,1108,109,4,19,2251,253,400,44,1844,209,2023-04-17
Forest Hills,4354,5891,523,8,56,14078,1488,2797,300,11288,1187,2023-04-17
Forward,1867,3326,310,12,38,6034,858,1668,250,4360,605,2023-04-17
Fox Chapel,4548,4078,298,3,31,12964,1022,3003,253,9932,765,2023-04-17
Franklin Park,10950,12211,811,27,78,31455,3307,8019,713,23362,2585,2023-04-17
Frazer,697,1316,201,2,15,2428,321,686,90,1740,229,2023-04-17
Friendship (Pittsburgh),1723,2241,216,0,8,6440,442,697,51,5738,389,2023-04-17
Garfield (Pittsburgh),2559,5352,623,20,83,10365,1000,1866,147,8502,852,2023-04-17
Glassport,2871,5713,632,15,99,10226,1363,2450,257,7781,1103,2023-04-17
Glen Hazel (Pittsburgh),891,6316,1045,25,53,10869,404,5779,35,5093,368,2023-04-17
Glen Osborne,396,674,72,0,1,1356,104,325,30,1031,74,2023-04-17
Glenfield,125,141,13,0,3,364,52,91,10,272,42,2023-04-17
Green Tree,3772,5592,492,8,52,11604,1536,3253,435,8334,1095,2023-04-17
Greenfield (Pittsburgh),5366,8602,1023,10,78,19856,1879,2942,181,16911,1698,2023-04-17
Hampton,12252,15524,1722,29,132,37180,4262,11210,1272,25836,2960,2023-04-17
Harmar,2205,7972,1532,30,66,12346,865,4754,210,7574,652,2023-04-17
Harrison,6127,9874,1125,24,156,19712,2733,5146,642,14570,2090,2023-04-17
Hays (Pittsburgh),208,262,14,1,3,516,71,98,9,418,62,2023-04-17
Haysville,42,122,32,0,0,272,14,42,2,230,12,2023-04-17
Hazelwood (Pittsburgh),2575,4686,851,10,80,9384,1065,2086,134,7299,930,2023-04-17
Heidelberg,819,1641,222,3,11,2922,340,836,100,2092,240,2023-04-17
Highland Park (Pittsburgh),5324,8117,877,13,52,23961,1393,3686,223,20270,1168,2023-04-17
Homestead,1895,4189,806,11,77,7821,818,1750,104,6064,713,2023-04-17
Homewood North (Pittsburgh),1571,2976,531,8,74,5870,634,1146,75,4722,559,2023-04-17
Homewood South (Pittsburgh),1505,3122,377,9,82,5852,610,1236,77,4617,533,2023-04-17
Homewood West (Pittsburgh),386,775,103,0,16,1522,147,323,28,1200,119,2023-04-17
Indiana,4960,11647,2356,23,82,21213,1774,7913,494,13290,1274,2023-04-17
Ingram,2106,3468,439,6,35,7062,907,1771,175,5299,732,2023-04-17
Jefferson Hills,8819,17422,2251,57,178,34304,4048,7830,1099,26447,2933,2023-04-17
Kennedy,6359,14888,1982,47,106,28631,2517,11130,717,17595,1790,2023-04-17
Kilbuck,519,627,23,0,4,1394,174,427,37,958,137,2023-04-17
Knoxville (Pittsburgh),2107,3728,503,5,51,7346,920,1604,123,5747,797,2023-04-17
Larimer (Pittsburgh),1502,3248,510,13,65,6166,543,892,41,5272,502,2023-04-17
Leet,1040,1233,109,3,9,2884,343,820,102,2051,239,2023-04-17
Leetsdale,681,1087,103,2,9,2324,229,564,59,1762,169,2023-04-17
Liberty,1555,3312,403,8,35,5536,822,1400,155,4130,667,2023-04-17
Lincoln,562,884,82,3,22,1746,312,428,70,1319,242,2023-04-17
Lincoln Place (Pittsburgh),1996,3498,493,9,47,6925,910,1693,207,5221,698,2023-04-17
Lincoln-Lemington-Belmar (Pittsburgh),2605,13882,3341,22,108,18555,1088,2881,189,15681,898,2023-04-17
Lower Lawrenceville (Pittsburgh),1976,3027,262,2,29,7074,636,1287,114,5781,520,2023-04-17
Manchester (Pittsburgh),1451,2261,262,7,57,4775,622,886,67,3886,555,2023-04-17
Marshall,6502,6528,358,6,47,18732,1912,4242,429,14450,1475,2023-04-17
Marshall-Shadeland (Pittsburgh),2501,4571,644,5,61,8839,1089,1892,166,6932,922,2023-04-17
McCandless,20584,32548,3449,142,314,71819,6783,22277,1652,49301,5088,2023-04-17
